"","x"
"BPIFB1",6
"CAPS",6
"SCGB1A1",6
"SCGB3A1",6
"SCGB3A2",6
"CALML5",5.22372524441427
"IGFBP7",5.13680369615259
"SAA1",5.05390466923052
"GSTA1",4.66894702828849
"SAA2",4.6157566039524
"CST6",4.59472083520931
"TSPAN1",4.4926574195958
"KLK6",4.38664219607476
"TPPP3",4.37178558739508
"SPINK1",4.22048817068527
"KRT17",4.10406008371896
"PSCA",4.04726822661133
"PLA2G1B",4.03869933368517
"PTGDS",3.98344269906162
"C12orf75",3.86128345075983
"AGER",3.85471576740182
"CA2",3.81894509013473
"PIFO",3.67793232344512
"RSPH1",3.67102721033252
"LCN2",3.55921749998911
"ODF3B",3.5088217012524
"CXCL14",3.50866508609674
"NMU",3.49636778023747
"HSPA1A",3.47408190449428
"TNNT3",3.44878257571398
"KRT16",3.40806024085059
"CXCL8",3.39338475257601
"TFF3",3.32461991238455
"SLC39A8",3.30359599736547
"IFI6",3.22701200290665
"WIF1",3.22278546837912
"MMP7",3.1569562898917
"CLDN18",2.97916446109611
"SNCG",2.95333878634426
"LRRK2",2.94438778876765
"CTGF",2.94336106513516
"SCD",2.937927104662
"MDK",2.9143152000761
"PCSK1N",2.91261895626681
"CXCL1",2.90172895799791
"IFI27",2.89220891407113
"APOL1",2.88169793937476
"MFSD2A",2.87301562299947
"NPC2",2.8525667505233
"LY6D",2.82987688533046
"C11orf96",2.82782386610537
"CHI3L1",2.78803722789559
"CEACAM6",2.78612763016244
"FOXJ1",2.78609161980834
"SLPI",2.78518603464404
"PLAC8",2.7030298753152
"MT2A",2.69089482723943
"AQP4",2.66442780692673
"CTSE",2.66400979495858
"MORN2",2.66247337362861
"S100A2",2.66243621779538
"CD74",2.65690020059912
"GKN2",2.64829209807962
"COL1A1",2.61734551050094
"FABP3",2.58269615816708
"ALPL",2.58053064446481
"PID1",2.53984098906798
"TUBA1A",2.53771713205472
"LY6E",2.5299681174019
"IGKC",2.52615320486034
"FAM229B",2.51866009238544
"DMBT1",2.51576741232011
"ABCA3",2.51199055415002
"CREB3L1",2.4938671554636
"S100A4",2.4922448810394
"PIGR",2.47984666361873
"LY6G6C",2.4699753454715
"NAPSA",2.46744294864935
"DLC1",2.44778941952861
"RGS16",2.43409951264549
"RASGRF1",2.41791388954989
"IGFBP2",2.37999974205225
"RRAD",2.35884252341259
"VEPH1",2.35865435683498
"CEBPA",2.33847939509279
"CCL2",2.33222540297807
"MRPL23",2.31752032438306
"SOD3",2.31591681124104
"CETN2",2.28533194667603
"KRT6A",2.28184183097884
"FOLR3",2.26854865086342
"PGC",2.26432027608487
"IRX3",2.25537129483678
"ALDH1A1",2.24918214128524
"CAT",2.23733943584789
"CCL20",2.23315789491798
"LL22NC03-N95F10.1",2.22967355099511
"TUBB4B",2.22957964441382
"ITGA2",2.22578226358034
"MT1E",2.22415816105996
"CES1",2.22363482508283
"HLA-DQA1",2.21954946953616
"TMEM45A",2.21945146008604
"ASPG",2.2161685821456
"KRT23",2.21410476975257
"KRT18",2.21167615044893
"CLIC3",2.20108218579134
"CCL5",2.19805490639602
"NFIX",2.1888887917387
"NDRG1",2.1833296252749
"FABP5",2.1803198267607
"KIAA0101",2.17690572934966
"IFI27L2",2.17621521443899
"WDR54",2.17400469280044
"SYNE1",2.17388770680209
"C9orf116",2.17058761729983
"IL32",2.14892480839627
"MGP",2.14781527683302
"MID1IP1",2.14580866084329
"NPW",2.14228835717907
"PPP1R1B",2.13474613542819
"SFTPD",2.13344778013345
"EGLN3",2.13078081191847
"DBI",2.12635158731385
"CAV1",2.123005448071
"GPX3",2.11504803073753
"WFDC2",2.10504293157852
"MXRA8",2.10123878424027
"SERPINA1",2.09861879618432
"C1R",2.08843599693415
"RNASE1",2.08037083295694
"IGFBP5",2.07886314210692
"IGLC3",2.0755622449189
"PSENEN",2.07464423823745
"FN1",2.06903541681593
"GNLY",2.06552660944554
"IGF2",2.0643130379065
"KLK11",2.05152958109707
"TFPI",2.05125873806199
"NNMT",2.04135267272547
"MRPS31",2.03676820700025
"BST2",2.0342410574739
"SLC34A2",2.01923854581971
"C16orf89",2.01543508811353
"HLA-F",2.01531970782873
"DRAM1",2.01503252625037
"MGC39584",2.01456464677859
"CXCL2",2.01142388956249
"MECOM",2.00675331703018
"AGR2",1.99305140046237
"MAST4",1.99207676786222
"GADD45A",1.99046238403641
"TMEM243",1.98960449198533
"HIST1H4C",1.9819434273223
"IGFBP3",1.98113002972402
"TM4SF1",1.98005088603034
"HHIP",1.97752843771184
"CTSH",1.97216153757931
"KRT7",1.97062010455897
"CD7",1.97002719387319
