"","x"
"KRT17",6
"SCGB3A1",6
"SCGB3A2",6
"MMP7",5.68101547947376
"IGFBP7",4.51641068996171
"SERPIND1",4.32858436950171
"HP",4.11652781291302
"CD24",3.8554740242435
"TAGLN",3.79172568579799
"CRLF1",3.60052400066784
"FGG",3.52375573150508
"APOC1",3.48409852243189
"FTH1",3.27074796505017
"SERPINA1",3.23464372428054
"KRT7",3.23376844317636
"TMSB4X",3.164091006742
"CEACAM6",3.11311934078456
"SCD",2.99585994059196
"FABP5",2.98138830949829
"APOE",2.85583088943729
"PGC",2.83724316162378
"NEAT1",2.82193889752087
"PCP4",2.81742017933931
"MT-ND2",2.75718063201744
"C1QB",2.73201962991171
"SLPI",2.69105738463458
"SOX4",2.65666321219937
"MT-ND4",2.63430187898088
"MS4A6A",2.57793708065644
"CD52",2.5765427849451
"GDF15",2.55566850779905
"VIM",2.52665951703113
"MT-ND1",2.52139310835736
"CXCL14",2.51948877565213
"C1QC",2.49036285216019
"C1QA",2.48043741289602
"DMBT1",2.48015584671806
"TYROBP",2.47401229420541
"NAPSA",2.46214570580989
"RRAD",2.45875079113796
"LTF",2.44870849245653
"IFI27",2.40700577629179
"ACTB",2.37726105185501
"S100A6",2.36986189859059
"LGALS1",2.35531510206407
"MT-ATP6",2.34186082813015
"DUSP6",2.34049583134787
"MDK",2.32684777044748
"CTGF",2.32539202708152
"WFDC2",2.30181838722734
"GADD45G",2.29265799553551
"TIMP3",2.28645193188351
"AQP1",2.27239976409948
"AGTR2",2.27116190076747
"TUBA1A",2.25319724332038
"C7",2.24460486388993
"MT-CYB",2.23181956763275
"DBI",2.22312465606308
"CYP1B1",2.2181209193274
"CHI3L1",2.18990201825516
"SFTPD",2.1634772877114
"MT-ND3",2.15401682075963
"S100A9",2.14385240201851
"PPM1N",2.11666661085065
"AIF1",2.11385181476857
"ANXA2",2.11280303316975
"IL32",2.0846099526252
"PEG10",2.07257360569509
"CCDC80",2.06927193169326
"HSPA6",2.0688182157042
"CST6",2.05187227440064
"TGM2",2.03938882315923
"AZGP1",2.01905311314542
"AREG",2.01455087579062
"PCNA",2.01098885309974
"ORM1",2.00014907689489
"TMSB10",1.98778932987326
"ID2",1.95790496420851
"SLCO2A1",1.95126555591435
"EGR1",1.94662460569236
"GAS6",1.93894721025697
"LHX9",1.93211049912209
"LL22NC03-N95F10.1",1.91709354067226
"FN1",1.90912808458235
"LYZ",1.90581798342545
"CRIP2",1.90469744855907
"B2M",1.89855662171539
